wave,t_start_ms,t_end_ms,n_rows,unique_losers,deficit_usd,max_loss_usd
1,1760130964831,1760130964831,11279,1,10925707.159377944,10925707.159377944
2,1760131016356,1760131016356,2915,50,10945233.811877944,10925707.159377944
4,1760131034132,1760131034132,1179,29,10942123.436786944,10925707.159377944
5,1760131046528,1760131046528,304,27,10927398.388470942,10925707.159377944
7,1760131095631,1760131095631,21,8,1175.6931290000011,1175.6931290000011
8,1760131103989,1760131107044,2248,16,10927057.260968942,10925707.159377944
9,1760131112648,1760131115747,100,73,8537.544322999915,8268.822556999916
10,1760131121686,1760131124652,2290,53,10929270.918099944,10925707.159377944
11,1760131130860,1760131133827,817,67,10926296.540315943,10925707.159377944
12,1760131143101,1760131143101,82,39,19394.265893999967,19320.698953999985
13,1760131148820,1760131192582,7873,715,11831911.509488944,10925707.159377944
14,1760131204816,1760131234906,1896,168,11666340.580627944,10925707.159377944
17,1760131262776,1760131278798,75,36,4184.924519999999,4184.924519999999
21,1760131330414,1760131342621,26,15,5035.837918000023,4768.181727000022
25,1760131461758,1760131470999,10,7,2493.3880400000003,1318.5445820000004
28,1760131535824,1760131547734,37,22,1225.4261079999999,1133.613232
